prompt,completion
"""Unemployment is low because everyone has two jobs. Unemployment is low because people are working 60, 70, 80 hours a week and can barely feed their family.""Ocasio-Cortez said, ""Unemployment is low because everyone has two jobs. Unemployment is low because people are working 60, 70, 80 hours a week and can barely feed their family.""
Even taking into account rhetorical excess, her statement is off in multiple ways. Fewer than one in 20 employed Americans holds a second job of any type, and the people who might be working as much as 70 or 80 hours a week represent a tiny fraction of that tiny fraction. The rates for either statistic are not high by historical standards.
In any case, the BLS does not use either of those factors in determining the official unemployment rate.
We rate the statement Pants on Fire.
sub-questions:","1. Can low unemployment rates be attributed to everyone having 2 jobs?
2. Is unemployment even currently low because of factors stated by Ocasio Cortez?
3. Can low unemployment be attributed to long work hours?
4. Do most people in this country work two jobs?
5. Do most people in this country work up to 80 hours a week?
6. Have rates for either of these factors reached a historic high?
7. Do government organization use either of these factors in evaluating unemployment?"
"Says the impeachment of President Donald Trump would be the first in U.S. history ""without a specific criminal statute or crime that the president who is impeached would have allegedly committed.""Gigot said if Trump is impeached, this would be the first impeachment in U.S. history ""without a specific criminal statute or crime that the president who is impeached would have allegedly committed.""
The two presidents who have been impeached, Johnson and Clinton, were not charged with violating any criminal code. But that is only part of the story: Johnson was accused of breaking a law that carried a possible prison sentence, and Clinton was accused of the crime of perjury.
The claim is partially accurate but takes things out of context. We rate the claim Half True.
sub-questions:","1. Have any presidents who have been impeached in the past charged with violating a criminal statute?
2. If Trump is impeached without being charged with violating a criminal statute, would that be the first instance of it in U.S. history?
3. Were the two presidents who were impeached accused of any crimes?
4. Have any past presidents that were impeached charged with a crime?
5. Was Johnson accused of breaking any laws?
6. Was Clinton accused of breaking any laws?"
"""When I withdrew in June of 2008, polls were showing that at least 40 percent of my supporters said, oh, they weren't going to support Sen. Obama.""Clinton said, ""When I withdrew in June of 2008, polls were showing that at least 40 percent of my supporters said, oh, they weren't going to support Sen. Obama.""
The wording of polls makes exact comparisons a bit tricky, but in general, Clinton is right about the scale of Obama’s 2008 problem with dissident Democrats -- and correct that Obama had a harder road then than she seems to have now. We rate the statement Mostly True.
sub-questions:","1. Did Obama lose this level of potential support from pro-Clinton voters?
2. Did some Democrats not support Obama in the election?
3. Did these polls verbatim ask if these voters would support Obama?
4. When Hillary withdrew in 2008, did polls indicate 40% of her supporters wouldn’t support Obama?
5. Did Hillary use accurate data in her statement?
6. Did Obama have the support issues Clinton claimed he would have?"
"Text from someone “connected” to Raleigh police: “antifa may be heading into the wealthy neighborhoods tonight to take what should be theirs.”A text message circulating through the Raleigh community says ""Antifa may be heading into the wealthy neighborhoods tonight to take what should be theirs,"" one text said.
This message is part of a broad network of misinformation across the country. It hasn’t been true in other communities and local authorities said it’s not true in Raleigh, either.
We rate this claim False.
sub-questions:","1. Did this information come from the police of this city?
2. Has antifa stormed into wealthy neighborhoods in any other cities?
3. Has antifa stormed into wealthy neighborhoods in this city?
4. Is antifa coming to wealthy neighborhoods in Raleigh?
5. Is antifa coming to wealthy neighborhoods in any other areas?
6. Did someone connected to Raleigh police spread the rumor about antifa coming?"
"“Some states, like Montana and Nebraska, are getting more than $300,000 in federal stimulus money per reported COVID-19 case. New York is the hardest-hit state and yet we are getting only about $12,000 per case.”Cuomo tweeted, ""Some states, like Montana and Nebraska, are getting more than $300,000 in federal stimulus money per reported COVID-19 case. New York is the hardest-hit state and yet we are getting only about $12,000 per case,""
In the first round of funding for health care providers, New York state’s providers received far less money per coronavirus case than other, less-affected states, according to a credible analysis. However, Cuomo’s tweet addressed only one part of the federal funding, and it glossed over the distinction between states and health care providers in those states. The funding source Cuomo tweeted about sends money to providers, not the state.
The statement is accurate but needs additional information, so we rate it Mostly True.
sub-questions:","1. Are some states getting $300,000 in federal stimulus money per each COVID-19 case?
2. Is New York getting far less money per COVID-19 case compared to most states?
3. Does all of this money go to the states?
4. Did New York receive significantly less money than some states?
5. Do these amounts cover the entirety of the federal funding for COVID-19?
6. Were these funds sent directly to the state?"
"""Trey Radel does not even qualify to drive a Lee County school bus at this point, yet he occupies a seat in Congress.""In a Facebook post vowing to advocate for Radel’s replacement, Scott said, ""The sad reality is that Trey Radel does not even qualify to drive a Lee County school bus at this point, yet he occupies a seat in Congress.""
Radel was convicted of misdemeanor cocaine possession in Washington. If he had been charged in Florida he would have faced a felony.
Under the unlikely scenario that Radel’s future career plans include applying for a job as a Lee County school bus driver, the district’s policies state that it won’t hire anyone currently on probation or who pleaded guilty to a misdemeanor drug charge within the past five years, or a felony drug charge in the past decade.
Radel’s future as a congressman may be in the hands of the voters of Southwest Florida. But Scott is correct that Radel’s drug conviction has put the brakes on him becoming a bus driver.
We rate this claim True.
sub-questions:","1. Does Radel qualify to drive a Lee County school bus?
2. Was Scott correct to say Radel did not qualify for a Lee county school bus driver?
3. Is Radel not qualified to be a bus driver in Lee County?
4. Was Radel convicted of any crimes that would disqualify him from becoming a bus driver? 
5. Was Radel convicted of any crimes in the state that he represents?"
"""We bailed out"" Johnson Controls when ""we saved the auto industry"" and ""now they want to avoid paying taxes.""Clinton said ""we bailed out"" Johnson Controls when ""we saved the auto industry"" and ""now they want to avoid paying taxes.""
Johnson Controls was not a direct recipient of the 2008-’09 federal bailouts of the auto industry, but it did push for the funds and, as an auto parts supplier, benefited indirectly.
On federal taxes, the company has said it will save $150 million per year by moving its headquarters from suburban Milwaukee to Ireland.
For a statement that is accurate but needs clarification, our rating is Mostly True.
sub-questions:","1. Did Johnson Controls directly benefit from the auto industry bailouts?
2. Did Johnson Controls benefit in any way from the auto industry bailouts?
3. Is Johnson Controls trying to avoid paying U.S. taxes?
4. Did we directly bail out Johnson Controls when we saved the auto industry?
5. Did Johnson Controls benefit in any aspect from federal bailouts?
6. Does Johnson Controls want to avoid paying taxes?
7. Did Johnson want to avoid paying taxes because of being bailed out?"
"Says ""Morgan Carroll opposed requiring convicted sex offenders to register their online profiles, making it harder to track online sex offenders and child predators.""The NRCC said, ""Morgan Carroll opposed requiring convicted sex offenders to register their online profiles, making it harder to track online sex offenders and child predators.""
The NRCC blows one of Carroll's committee votes out of proportion to make it sound like she was philosophically against this policy.
Carroll did vote to kill the orginal sex offender bill in committee, because she -- along with other Democrats -- said the bill lacked language to prevent a sex offender from creating an email address with a fake name to evade tracking. But she voted for successful passage of another tracking bill with teeth when it was in the House. It required law enforcement to verify a sex offender's email addresses, and it carried criminal penalties for anyone who provides false information about their email or other online identities.
When that bill came back from the Senate, the tougher enforcement measures had been stripped out, and Carroll voted against it.
The NRCC ad ultimately distorts Carroll's position by saying she opposed making sex offenders register their online profiles when she actually fought for tougher enforcement. We rate this statement Mostly False.
Editor's note:This fact-check originally posted with a rating of False. Shortly after publication, the NRCC pointed out Carroll's vote against the final measure when it came back from the Senate, which we did not consider. We updated the piece and revised the rating.
https://www.sharethefacts.co/share/967b2e0d-12c3-4508-9b55-838e2db70b9c
sub-questions:","1. Did Carroll oppose the bill in the original claim?
2. Did Carroll oppose the safety measures against convicted offenders?
3. Are Carroll's intentions accurately portrayed by the original claim?
4. Did Carroll oppose this bill?
5. Did Carroll oppose this bill because it would better track sex offenders?
6. Has Carroll supported any other bills that would better track sex offenders?
7. Did Carroll support the bill after it was revised?"
"Says ""Rob Portman voted for the bipartisan bill to affirm climate change is real, humans significantly contribute to it and it needs to be addressed.""An ad by ClearPath Action said, ""Rob Portman voted for the bipartisan bill to affirm climate change is real, humans significantly contribute to it and it needs to be addressed.""
While Portman did vote for a bipartisan bill recognizing climate change as a threat in need of action, that bill did not include the word ""significantly."" Portman has voted against other amendments when they include the word ""significantly,"" and has voted for amendments that do not quantify how much human activity affects climate change.
ClearPath Action has since discontinued the ad, admitted the mistake and pledged to release a corrected version.
We rate the original version of the ad Mostly False.
https://www.sharethefacts.co/share/67974c57-e2bb-4327-a497-e2db21a126f0
sub-questions:","1. Did Rob Portman vote for the bipartisan bill to affirm climate change is real?
2. Was there a bipartisan bill to affirm climate change is real , humans significantly contribute to it and it needs to be addressed . ""
3. Did Portman vote for any bipartisan bill to affirm climate change is real , humans significantly contribute to it and it needs to be addressed . ""
4. Did Portman vote for a bipartisan bill to affirm that climate change is real and needs action?
5. Does the language of the bill include that humans significantly contribute to climate change?
6. Does Portman support the idea that humans significantly contribute to climate change?"
"""Over the past 25 years, job growth in right-to-work states has been twice as high as in non-right-to-work states. ... The facts are just so clear that this is going to lead to more jobs and higher pay for the people of Missouri.""Greitens said: ""Over the past 25 years, job growth in right to work states has been twice as high as in non-right to work states. ... The facts are just so clear that this is going to lead to more jobs and higher pay for the people of Missouri.""
His information comes from a conservative think tank that had accurate numbers from the Bureau of Labor Statistics but used them in a way that experts say is unreliable for measuring the effect of a state law on its economy.
Greitens used correct numbers but excluded important contextual information that might give someone a different impression of the figures. We rate this claim Half True.
Correction:This story was corrected on April 6, 2017, to accurately describe the methodology used in the Illinois Policy Institute’s analysis of job growth in right-to-work and non-right-to-work states. Job growth numbers for states were aggregated, not averaged.
sub-questions:","1. Is job growth in right - to - work states twice that of states without this policy?
2. Will the right - to - work policy surely lead to more jobs and higher pay?
3. Does Greitens' statistics come from a reliable source of information?
4. Will job growth in right to work states lead to more jobs/higher wages for Missourians?
5. Has job growth in right to work status been twice as high than in non-right to work states in the past 25 years?
6. Is there proof job growth in right to work states has been twice as high the was in non right to work states?"
