WorkerId,Input.id,Input.who,Input.when_where,Input.claim,Input.evidence,Input.label,Answer.user-output
A248M9BK62RL5L,5,Alexandria Ocasio-Cortez,"stated on July 13, 2018 in an interview on PBS' ""Firing Line"":","""Unemployment is low because everyone has two jobs. Unemployment is low because people are working 60, 70, 80 hours a week and can barely feed their family.""","Ocasio-Cortez said, ""Unemployment is low because everyone has two jobs. Unemployment is low because people are working 60, 70, 80 hours a week and can barely feed their family.""
Even taking into account rhetorical excess, her statement is off in multiple ways. Fewer than one in 20 employed Americans holds a second job of any type, and the people who might be working as much as 70 or 80 hours a week represent a tiny fraction of that tiny fraction. The rates for either statistic are not high by historical standards.
In any case, the BLS does not use either of those factors in determining the official unemployment rate.
We rate the statement Pants on Fire.",pants-fire,"[{""question"":""Can low unemployment rates be attributed to everyone having 2 jobs?"",""answer"":""No"",""evidence"":""Fewer than one in 20 employed Americans holds a second job of any type\nThe rates for either statistic are not high by historical standards.\n\nIn any case, the BLS does not use either of those factors in determining the official unemployment rate."",""from-where"":""Reasoning""},{""question"":""\nIs unemployment even currently low because of factors stated by Ocasio Cortez?"",""answer"":""No"",""evidence"":""In any case, the BLS does not use either of those factors in determining the official unemployment rate.\n"",""from-where"":""Reasoning""},{""question"":""\n\nCan low unemployment be attributed to long work hours?"",""answer"":""No"",""evidence"":""the people who might be working as much as 70 or 80 hours a week represent a tiny fraction of that tiny fraction. The rates for either statistic are not high by historical standards.\n\nIn any case, the BLS does not use either of those factors in determining the official unemployment rate."",""from-where"":""Reasoning""}]"
A394Q9REPEHG3X,5,Alexandria Ocasio-Cortez,"stated on July 13, 2018 in an interview on PBS' ""Firing Line"":","""Unemployment is low because everyone has two jobs. Unemployment is low because people are working 60, 70, 80 hours a week and can barely feed their family.""","Ocasio-Cortez said, ""Unemployment is low because everyone has two jobs. Unemployment is low because people are working 60, 70, 80 hours a week and can barely feed their family.""
Even taking into account rhetorical excess, her statement is off in multiple ways. Fewer than one in 20 employed Americans holds a second job of any type, and the people who might be working as much as 70 or 80 hours a week represent a tiny fraction of that tiny fraction. The rates for either statistic are not high by historical standards.
In any case, the BLS does not use either of those factors in determining the official unemployment rate.
We rate the statement Pants on Fire.",pants-fire,"[{""question"":""Do most people in this country work two jobs?"",""answer"":""no"",""evidence"":""Fewer than one in 20 employed Americans holds a second job of any type, "",""from-where"":""reasoning""},{""question"":""Do most people in this country work up to 80 hours a week?"",""answer"":""no"",""evidence"":""and the people who might be working as much as 70 or 80 hours a week represent a tiny fraction of that tiny fraction."",""from-where"":""reasoning""},{""question"":""Have rates for either of these factors reached a historic high?"",""answer"":""no"",""evidence"":""The rates for either statistic are not high by historical standards."",""from-where"":""reasoning""},{""question"":""Do government organization use either of these factors in evaluating unemployment?"",""answer"":""no"",""evidence"":""In any case, the BLS does not use either of those factors in determining the official unemployment rate."",""from-where"":""reasoning""}]"
A248M9BK62RL5L,152,Vicky Hartzler,"stated on March 14, 2017 in a tweet:","""For too long, Obamacare has caused high premiums and dismal coverage. ... Under Obamacare premiums in job-based coverage have increased by $3,775""",,barely-true,"[{""question"":""Under Obamacare did premiums in job based coverage increased by $3775?"",""answer"":""N/A - Justification didn't appear for this prompt"",""evidence"":""N/A - Justification didn't appear for this prompt"",""from-where"":""N/A - Justification didn't appear for this prompt""},{""question"":""Does Obamacare actually have higher premiums/dismal coverage?"",""answer"":""N/A - Justification didn't appear for this prompt"",""evidence"":""N/A - Justification didn't appear for this prompt"",""from-where"":""N/A - Justification didn't appear for this prompt""},{""question"":""Compared to other insurance, has Obamacare had higher premiums and/or dismal coverage?\n"",""answer"":""N/A - Justification didn't appear for this prompt"",""evidence"":""N/A - Justification didn't appear for this prompt"",""from-where"":""N/A - Justification didn't appear for this prompt""}]"
A394Q9REPEHG3X,174,Paul Gigot,"stated on December 7, 2019 in an interview:","Says the impeachment of President Donald Trump would be the first in U.S. history ""without a specific criminal statute or crime that the president who is impeached would have allegedly committed.""","Gigot said if Trump is impeached, this would be the first impeachment in U.S. history ""without a specific criminal statute or crime that the president who is impeached would have allegedly committed.""
The two presidents who have been impeached, Johnson and Clinton, were not charged with violating any criminal code. But that is only part of the story: Johnson was accused of breaking a law that carried a possible prison sentence, and Clinton was accused of the crime of perjury.
The claim is partially accurate but takes things out of context. We rate the claim Half True.",half-true,"[{""question"":""Have any presidents who have been impeached in the past charged with violating a criminal statute?"",""answer"":""no"",""evidence"":""The two presidents who have been impeached, Johnson and Clinton, were not charged with violating any criminal code. "",""from-where"":""reasoning""},{""question"":""If Trump is impeached without being charged with violating a criminal statute, would that be the first instance of it in U.S. history?"",""answer"":""no"",""evidence"":""The two presidents who have been impeached, Johnson and Clinton, were not charged with violating any criminal code."",""from-where"":""reasoning""},{""question"":""Were the two presidents who were impeached accused of any crimes?"",""answer"":""yes"",""evidence"":""But that is only part of the story: Johnson was accused of breaking a law that carried a possible prison sentence, and Clinton was accused of the crime of perjury."",""from-where"":""reasoning""}]"
A248M9BK62RL5L,362,Hillary Clinton,"stated on April 21, 2016 in a town hall on ABC's 'Good Morning America':","""When I withdrew in June of 2008, polls were showing that at least 40 percent of my supporters said, oh, they weren't going to support Sen. Obama.""","Clinton said, ""When I withdrew in June of 2008, polls were showing that at least 40 percent of my supporters said, oh, they weren't going to support Sen. Obama.""
The wording of polls makes exact comparisons a bit tricky, but in general, Clinton is right about the scale of Obama’s 2008 problem with dissident Democrats -- and correct that Obama had a harder road then than she seems to have now. We rate the statement Mostly True.",mostly-true,"[{""question"":""When Hillary withdrew in 2008, did polls indicate 40% of her supporters wouldn’t support Obama?"",""answer"":""Yes"",""evidence"":""The wording of polls makes exact comparisons a bit tricky, but in general, Clinton is right about the scale of Obama’s 2008 problem with dissident Democrats -- \n"",""from-where"":""Reasoning""},{""question"":""Did Hillary use accurate data in her statement?"",""answer"":""Yes"",""evidence"":""in general, Clinton is right about the scale of Obama’s 2008 problem with dissident Democrats \n"",""from-where"":""Reasoning ""},{""question"":""Did Obama have the support issues Clinton claimed he would have?"",""answer"":""Yes"",""evidence"":""The wording of polls makes exact comparisons a bit tricky, but in general, Clinton is right about the scale of Obama’s 2008 problem with dissident Democrats -- and correct that Obama had a harder road then than she seems to have now."",""from-where"":""Reasoning""}]"
A394Q9REPEHG3X,976,Chain message,"stated on June 2, 2020 in a text:",Text from someone “connected” to Raleigh police: “antifa may be heading into the wealthy neighborhoods tonight to take what should be theirs.”,"A text message circulating through the Raleigh community says ""Antifa may be heading into the wealthy neighborhoods tonight to take what should be theirs,"" one text said.
This message is part of a broad network of misinformation across the country. It hasn’t been true in other communities and local authorities said it’s not true in Raleigh, either.
We rate this claim False.",FALSE,"[{""question"":""Is antifa coming to wealthy neighborhoods in Raleigh?"",""answer"":""no"",""evidence"":""and local authorities said it’s not true in Raleigh, either."",""from-where"":""reasoning""},{""question"":""Is antifa coming to wealthy neighborhoods in any other areas?"",""answer"":""no"",""evidence"":""This message is part of a broad network of misinformation across the country. It hasn’t been true in other communities"",""from-where"":""reasoning""},{""question"":""Did someone connected to Raleigh police spread the rumor about antifa coming?"",""answer"":""n/a"",""evidence"":"" Text from someone “ connected ” to Raleigh police :"",""from-where"":""claim""}]"
A394Q9REPEHG3X,995,Andrew Cuomo,"stated on April 12, 2020 in a tweet:","“Some states, like Montana and Nebraska, are getting more than $300,000 in federal stimulus money per reported COVID-19 case. New York is the hardest-hit state and yet we are getting only about $12,000 per case.”","Cuomo tweeted, ""Some states, like Montana and Nebraska, are getting more than $300,000 in federal stimulus money per reported COVID-19 case. New York is the hardest-hit state and yet we are getting only about $12,000 per case,""
In the first round of funding for health care providers, New York state’s providers received far less money per coronavirus case than other, less-affected states, according to a credible analysis. However, Cuomo’s tweet addressed only one part of the federal funding, and it glossed over the distinction between states and health care providers in those states. The funding source Cuomo tweeted about sends money to providers, not the state.
The statement is accurate but needs additional information, so we rate it Mostly True.",mostly-true,"[{""question"":""Are some states getting $300,000 in federal stimulus money per each COVID-19 case?"",""answer"":""yes"",""evidence"":""In the first round of funding for health care providers, New York state’s providers received far less money per coronavirus case than other, less-affected states, according to a credible analysis. "",""from-where"":""reasoning""},{""question"":""Is New York getting far less money per COVID-19 case compared to most states?"",""answer"":""yes"",""evidence"":""In the first round of funding for health care providers, New York state’s providers received far less money per coronavirus case than other, less-affected states, according to a credible analysis. "",""from-where"":""reasoning""},{""question"":""Does all of this money go to the states?"",""answer"":""no"",""evidence"":""The funding source Cuomo tweeted about sends money to providers, not the state."",""from-where"":""reasoning""}]"
A248M9BK62RL5L,1,Mike Scott,"stated on January 11, 2014 in a Facebook post:","""Trey Radel does not even qualify to drive a Lee County school bus at this point, yet he occupies a seat in Congress.""","In a Facebook post vowing to advocate for Radel’s replacement, Scott said, ""The sad reality is that Trey Radel does not even qualify to drive a Lee County school bus at this point, yet he occupies a seat in Congress.""
Radel was convicted of misdemeanor cocaine possession in Washington. If he had been charged in Florida he would have faced a felony.
Under the unlikely scenario that Radel’s future career plans include applying for a job as a Lee County school bus driver, the district’s policies state that it won’t hire anyone currently on probation or who pleaded guilty to a misdemeanor drug charge within the past five years, or a felony drug charge in the past decade.
Radel’s future as a congressman may be in the hands of the voters of Southwest Florida. But Scott is correct that Radel’s drug conviction has put the brakes on him becoming a bus driver.
We rate this claim True.",TRUE,"[{""question"":""Does Radel qualify to drive a Lee County school bus?"",""answer"":""No"",""evidence"":""Radel was convicted of misdemeanor cocaine possession in Washington. If he had been charged in Florida he would have faced a felony.\n\nUnder the unlikely scenario that Radel’s future career plans include applying for a job as a Lee County school bus driver, the district’s policies state that it won’t hire anyone currently on probation or who pleaded guilty to a misdemeanor drug charge within the past five years, or a felony drug charge in the past decade.\n\nRadel’s future as a congressman may be in the hands of the voters of Southwest Florida. But Scott is correct that Radel’s drug conviction has put the brakes on him becoming a bus driver."",""from-where"":""Reasoning""},{""question"":""Was Scott correct to say Radel did not qualify for a Lee county school bus driver?"",""answer"":""Yes"",""evidence"":""Radel was convicted of misdemeanor cocaine possession in Washington. If he had been charged in Florida he would have faced a felony.\n\nUnder the unlikely scenario that Radel’s future career plans include applying for a job as a Lee County school bus driver, the district’s policies state that it won’t hire anyone currently on probation or who pleaded guilty to a misdemeanor drug charge within the past five years, or a felony drug charge in the past decade.\n\nRadel’s future as a congressman may be in the hands of the voters of Southwest Florida. But Scott is correct that Radel’s drug conviction has put the brakes on him becoming a bus driver."",""from-where"":""Reasoning""}]"
A394Q9REPEHG3X,1,Mike Scott,"stated on January 11, 2014 in a Facebook post:","""Trey Radel does not even qualify to drive a Lee County school bus at this point, yet he occupies a seat in Congress.""","In a Facebook post vowing to advocate for Radel’s replacement, Scott said, ""The sad reality is that Trey Radel does not even qualify to drive a Lee County school bus at this point, yet he occupies a seat in Congress.""
Radel was convicted of misdemeanor cocaine possession in Washington. If he had been charged in Florida he would have faced a felony.
Under the unlikely scenario that Radel’s future career plans include applying for a job as a Lee County school bus driver, the district’s policies state that it won’t hire anyone currently on probation or who pleaded guilty to a misdemeanor drug charge within the past five years, or a felony drug charge in the past decade.
Radel’s future as a congressman may be in the hands of the voters of Southwest Florida. But Scott is correct that Radel’s drug conviction has put the brakes on him becoming a bus driver.
We rate this claim True.",TRUE,"[{""question"":""Is Radel not qualified to be a bus driver in Lee County?"",""answer"":""yes"",""evidence"":""the district’s policies state that it won’t hire anyone currently on probation or who pleaded guilty to a misdemeanor drug charge within the past five years, or a felony drug charge in the past decade."",""from-where"":""reasoning""},{""question"":""Was Radel convicted of any crimes that would disqualify him from becoming a bus driver? "",""answer"":""yes"",""evidence"":""Radel was convicted of misdemeanor cocaine possession in Washington. "",""from-where"":""reasoning""},{""question"":""Was Radel convicted of any crimes in the state that he represents?"",""answer"":""no"",""evidence"":""Radel was convicted of misdemeanor cocaine possession in Washington. If he had been charged in Florida he would have faced a felony."",""from-where"":""reasoning""}]"
A394Q9REPEHG3X,11,Hillary Clinton,"stated on February 4, 2016 in a debate:","""We bailed out"" Johnson Controls when ""we saved the auto industry"" and ""now they want to avoid paying taxes.""","Clinton said ""we bailed out"" Johnson Controls when ""we saved the auto industry"" and ""now they want to avoid paying taxes.""
Johnson Controls was not a direct recipient of the 2008-’09 federal bailouts of the auto industry, but it did push for the funds and, as an auto parts supplier, benefited indirectly.
On federal taxes, the company has said it will save $150 million per year by moving its headquarters from suburban Milwaukee to Ireland.
For a statement that is accurate but needs clarification, our rating is Mostly True.",mostly-true,"[{""question"":""Did Johnson Controls directly benefit from the auto industry bailouts?"",""answer"":""no"",""evidence"":""Johnson Controls was not a direct recipient of the 2008-’09 federal bailouts of the auto industry, "",""from-where"":""reasoning""},{""question"":""Did Johnson Controls benefit in any way from the auto industry bailouts?"",""answer"":""yes"",""evidence"":""but it did push for the funds and, as an auto parts supplier, benefited indirectly."",""from-where"":""reasoning""},{""question"":""Is Johnson Controls trying to avoid paying U.S. taxes?"",""answer"":""yes"",""evidence"":""On federal taxes, the company has said it will save $150 million per year by moving its headquarters from suburban Milwaukee to Ireland."",""from-where"":""reasoning""}]"
